dateok,dwell00
2017-12-02 11:36:00,1
2017-12-02 11:36:10,1
2017-12-02 11:36:20,1
2017-12-02 11:36:30,18
2017-12-02 11:36:40,26
2017-12-02 11:37:00,12
2017-12-02 11:37:10,33
2017-12-02 11:37:20,2
2017-12-02 11:37:30,0
2017-12-02 11:38:40,24
2017-12-02 11:39:00,6
2017-12-02 11:39:10,7
2017-12-02 11:39:20,5
2017-12-02 11:39:30,13
2017-12-02 11:40:10,1
2017-12-02 11:40:20,12
2017-12-02 11:40:30,0
2017-12-02 11:40:40,0
2017-12-02 11:40:50,2
2017-12-02 11:41:00,3
2017-12-02 11:41:10,0
2017-12-02 11:41:20,0
2017-12-02 11:41:30,3
2017-12-02 11:41:40,19
2017-12-02 11:42:00,0
2017-12-02 11:42:30,2
2017-12-02 11:42:40,6
2017-12-02 11:42:50,4
2017-12-02 11:43:00,12
2017-12-02 11:43:10,122
2017-12-02 11:43:40,6
2017-12-02 11:44:00,5
2017-12-02 11:44:20,18
2017-12-02 11:44:40,2
2017-12-02 11:44:50,5
2017-12-02 11:45:10,54
2017-12-02 11:45:20,1
2017-12-02 11:45:40,2
2017-12-02 11:46:00,10
2017-12-02 11:46:10,0
2017-12-02 11:46:30,2
2017-12-02 11:46:40,2
2017-12-02 11:46:50,14
2017-12-02 11:47:00,14
2017-12-02 11:47:20,2
2017-12-02 11:47:40,0
2017-12-02 11:48:10,1
2017-12-02 11:48:20,0
2017-12-02 11:48:30,11
2017-12-02 11:48:40,2
2017-12-02 11:48:50,10
2017-12-02 11:49:10,5
2017-12-02 11:49:20,25
2017-12-02 11:49:30,2
2017-12-02 11:49:40,1
2017-12-02 11:50:10,1
2017-12-02 11:50:20,1
2017-12-02 11:50:40,0
2017-12-02 11:50:50,2
2017-12-02 11:51:00,0
2017-12-02 11:51:20,0
2017-12-02 11:51:30,14
2017-12-02 11:51:50,1
2017-12-02 11:52:00,1
2017-12-02 11:52:20,3
2017-12-02 11:52:40,0
2017-12-02 11:53:00,6
2017-12-02 11:53:10,0
2017-12-02 11:53:20,2
2017-12-02 11:53:30,4
2017-12-02 11:53:40,10
2017-12-02 11:53:50,4
2017-12-02 11:54:00,3
2017-12-02 11:54:30,3
2017-12-02 11:54:40,1
2017-12-02 11:54:50,0
2017-12-02 11:55:00,5
2017-12-02 11:55:10,0
2017-12-02 11:55:20,0
2017-12-02 11:55:30,0
2017-12-02 11:55:50,9
2017-12-02 11:56:00,5
2017-12-02 11:56:20,7
2017-12-02 11:56:30,10
2017-12-02 11:56:40,32
2017-12-02 11:56:50,8
2017-12-02 11:57:00,2
2017-12-02 11:57:10,1
2017-12-02 11:57:20,4
2017-12-02 11:57:40,4
2017-12-02 11:58:00,2
2017-12-02 11:58:10,10
2017-12-02 11:58:20,13
2017-12-02 11:58:30,0
2017-12-02 11:58:40,0
2017-12-02 11:58:50,3
2017-12-02 11:59:00,8
2017-12-02 11:59:10,0
2017-12-02 11:59:20,1
2017-12-02 11:59:30,1
2017-12-02 11:59:40,0
2017-12-02 11:59:50,44
2017-12-02 12:00:20,4
2017-12-02 12:00:40,5
2017-12-02 12:01:10,17
2017-12-02 12:01:20,2
2017-12-02 12:01:40,9
2017-12-02 12:01:50,14
2017-12-02 12:02:00,6
2017-12-02 12:02:40,2
2017-12-02 12:02:50,1
2017-12-02 12:03:00,0
2017-12-02 12:03:10,25
2017-12-02 12:03:20,12
2017-12-02 12:03:30,6
2017-12-02 12:03:40,1
2017-12-02 12:04:00,1
2017-12-02 12:04:10,6
2017-12-02 12:04:20,20
2017-12-02 12:04:40,11
2017-12-02 12:04:50,1
2017-12-02 12:05:20,6
2017-12-02 12:05:30,0
2017-12-02 12:05:40,26
2017-12-02 12:05:50,1
2017-12-02 12:06:10,2
2017-12-02 12:06:30,1
2017-12-02 12:06:40,32
2017-12-02 12:07:00,3
2017-12-02 12:08:10,4
2017-12-02 12:08:30,2
2017-12-02 12:08:40,30
2017-12-02 12:09:00,5
2017-12-02 12:09:10,0
2017-12-02 12:09:40,13
2017-12-02 12:09:50,16
2017-12-02 12:10:00,15
2017-12-02 12:10:10,1
2017-12-02 12:10:40,3
2017-12-02 12:10:50,4
2017-12-02 12:11:10,0
2017-12-02 12:11:20,3
2017-12-02 12:11:30,1
2017-12-02 12:12:00,0
2017-12-02 12:12:20,1
2017-12-02 12:12:30,6
2017-12-02 12:12:50,0
2017-12-02 12:13:00,6
2017-12-02 12:13:20,10
2017-12-02 12:13:30,19
